username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,45800,https://github.com/iamadamdev/bypass-paywalls-chrome
,jaywcjlove,27600,https://github.com/jaywcjlove
,refined-github,22800,https://github.com/refined-github
,openai-translator,21900,https://github.com/openai-translator
,darkreader,18500,https://github.com/darkreader
,dailydotdev,15900,https://github.com/dailydotdev
,checkly,14900,https://github.com/checkly
unbug,codelf,13900,https://github.com/unbug/codelf
,gildas-lormeau,13300,https://github.com/gildas-lormeau
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
immersive-translate,immersive-translate,13000,https://github.com/immersive-translate/immersive-translate
Anarios,return-youtube-dislike,12100,https://github.com/Anarios/return-youtube-dislike
,crimx,11500,https://github.com/crimx
listen1,listen1_chrome_extension,10900,https://github.com/listen1/listen1_chrome_extension
josStorer,chatGPTBox,9400,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,9300,https://github.com/chathub-dev/chathub
AutomaApp,automa,9300,https://github.com/AutomaApp/automa
,alyssaxuu,9300,https://github.com/alyssaxuu
ajayyy,SponsorBlock,8500,https://github.com/ajayyy/SponsorBlock
appbaseio,dejavu,8300,https://github.com/appbaseio/dejavu
