username,repo_name,stars,repo_url
,localstack,51600,https://github.com/localstack
harness,gitness,31200,https://github.com/harness/gitness
jenkinsci,jenkins,22200,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12800,https://github.com/auchenberg/volkswagen
dagger,dagger,9900,https://github.com/dagger/dagger
openshift,origin,8400,https://github.com/openshift/origin
,milanm,8200,https://github.com/milanm
concourse,concourse,7100,https://github.com/concourse/concourse
gocd,gocd,7000,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
,jenkins-x,4500,https://github.com/jenkins-x
,ovh,4400,https://github.com/ovh
,JamesIves,4000,https://github.com/JamesIves
,TheLartians,4000,https://github.com/TheLartians
,iterative,3900,https://github.com/iterative
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
,werf,3900,https://github.com/werf
cake-build,cake,3800,https://github.com/cake-build/cake
