username,repo_name,stars,repo_url
babel,babel,42800,https://github.com/babel/babel
swc-project,swc,29700,https://github.com/swc-project/swc
nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
,electron-react-boilerplate,22500,https://github.com/electron-react-boilerplate
SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15100,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11900,https://github.com/jamiebuilds/babel-handbook
developit,htm,8500,https://github.com/developit/htm
,grommet,8300,https://github.com/grommet
,ben-rogerson,7800,https://github.com/ben-rogerson
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
fkling,astexplorer,5900,https://github.com/fkling/astexplorer
documentationjs,documentation,5800,https://github.com/documentationjs/documentation
insin,nwb,5600,https://github.com/insin/nwb
,ast-grep,5500,https://github.com/ast-grep
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
egoist,poi,5200,https://github.com/egoist/poi
thx,gogocode,5100,https://github.com/thx/gogocode
duxianwei520,react,4900,https://github.com/duxianwei520/react
babel,babel-loader,4800,https://github.com/babel/babel-loader
