username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,29200,https://github.com/CSSEGISandData/COVID-19
,nytimes,7000,https://github.com/nytimes
,covid19india,6900,https://github.com/covid19india
,Tokyo-Metro-Gov,6300,https://github.com/Tokyo-Metro-Gov
owid,covid-19-data,5600,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
,ieee8023,3000,https://github.com/ieee8023
geohot,corona,2500,https://github.com/geohot/corona
disease-sh,API,2500,https://github.com/disease-sh/API
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
,corona-warn-app,1900,https://github.com/corona-warn-app
,ahmadawais,1800,https://github.com/ahmadawais
cirosantilli,china-dictatorship,1700,https://github.com/cirosantilli/china-dictatorship
,github,1600,https://github.com/github
,ExpDev07,1600,https://github.com/ExpDev07
,soroushchehresa,1500,https://github.com/soroushchehresa
,mhdhejazi,1500,https://github.com/mhdhejazi
,chandrikadeb7,1500,https://github.com/chandrikadeb7
chrismattmann,tika-python,1400,https://github.com/chrismattmann/tika-python
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
